matrix_dimension,epsilon,power_method_iterations_count,scalar_product_method_iterations_count
"(10, 1e-06, 10, 9)","(10, 1e-07, 12, 10)","(10, 1e-08, 13, 12)","(10, 1e-09, 15, 13)"
"(11, 1e-06, 11, 9)","(11, 1e-07, 12, 11)","(11, 1e-08, 13, 12)","(11, 1e-09, 15, 13)"
"(12, 1e-06, 11, 9)","(12, 1e-07, 12, 11)","(12, 1e-08, 14, 12)","(12, 1e-09, 15, 14)"
"(13, 1e-06, 11, 10)","(13, 1e-07, 13, 11)","(13, 1e-08, 14, 13)","(13, 1e-09, 16, 14)"
"(14, 1e-06, 11, 10)","(14, 1e-07, 13, 11)","(14, 1e-08, 14, 13)","(14, 1e-09, 16, 14)"
"(15, 1e-06, 11, 10)","(15, 1e-07, 13, 11)","(15, 1e-08, 15, 13)","(15, 1e-09, 16, 15)"
"(16, 1e-06, 12, 10)","(16, 1e-07, 13, 12)","(16, 1e-08, 15, 13)","(16, 1e-09, 16, 15)"
"(17, 1e-06, 12, 10)","(17, 1e-07, 13, 12)","(17, 1e-08, 15, 13)","(17, 1e-09, 17, 15)"
"(18, 1e-06, 12, 10)","(18, 1e-07, 13, 12)","(18, 1e-08, 15, 14)","(18, 1e-09, 17, 15)"
"(19, 1e-06, 12, 10)","(19, 1e-07, 14, 12)","(19, 1e-08, 15, 14)","(19, 1e-09, 17, 15)"
